timestamp,open,high,low,close,volume
1767275100000,0.6607,0.6627,0.6602,0.6622,128386.0
1767276000000,0.6622,0.6667,0.6619,0.6657,372526.0
1767276900000,0.6657,0.6659,0.6615,0.6629,149746.0
1767277800000,0.6629,0.6638,0.66,0.6628,233876.0
1767278700000,0.6628,0.6648,0.6603,0.6639,134632.0
1767279600000,0.6639,0.6654,0.6624,0.6629,125397.0
1767280500000,0.6629,0.6652,0.6619,0.6647,145923.0
1767281400000,0.6647,0.6817,0.6646,0.6772,1256148.0
1767282300000,0.6772,0.684,0.6766,0.6816,805878.0
1767283200000,0.6816,0.6825,0.6752,0.6768,290452.0
1767284100000,0.6768,0.6781,0.6718,0.6769,337559.0
1767285000000,0.6769,0.6781,0.6751,0.6757,135922.0
1767285900000,0.6757,0.6771,0.6742,0.6768,142489.0
1767286800000,0.6768,0.6797,0.6759,0.6792,129505.0
1767287700000,0.6792,0.6816,0.6773,0.6792,230480.0
1767288600000,0.6792,0.6841,0.6786,0.6795,389323.0
1767289500000,0.6795,0.6797,0.6772,0.6789,111465.0
1767290400000,0.6789,0.6792,0.6757,0.6764,186925.0
1767291300000,0.6764,0.6787,0.6756,0.6763,92296.0
1767292200000,0.6763,0.6774,0.6756,0.6765,53883.0
1767293100000,0.6765,0.6769,0.6755,0.6761,27719.0
1767294000000,0.6761,0.6802,0.675,0.6782,204061.0
1767294900000,0.6782,0.6811,0.6781,0.6788,76553.0
1767295800000,0.6788,0.6823,0.6777,0.6823,67326.0
1767296700000,0.6823,0.6864,0.6818,0.6864,104815.0
1767297600000,0.6864,0.6882,0.6843,0.6853,268773.0
1767298500000,0.6853,0.6862,0.6823,0.6832,48400.0
1767299400000,0.6832,0.6832,0.6792,0.6813,135998.0
1767300300000,0.6813,0.684,0.6809,0.6838,147634.0
1767301200000,0.6838,0.6887,0.6835,0.687,287473.0
1767302100000,0.687,0.6873,0.684,0.6841,169682.0
1767303000000,0.6841,0.6849,0.6828,0.6833,94597.0
1767303900000,0.6833,0.6849,0.6826,0.6846,100727.0
1767304800000,0.6846,0.6872,0.6839,0.6855,235648.0
1767305700000,0.6855,0.6881,0.6844,0.6874,53259.0
1767306600000,0.6874,0.6921,0.6871,0.6905,320113.0
1767307500000,0.6905,0.6941,0.6905,0.6934,201553.0
1767308400000,0.6934,0.6945,0.6914,0.6926,256654.0
1767309300000,0.6926,0.6996,0.6926,0.695,340491.0
1767310200000,0.695,0.6962,0.6928,0.6949,240351.0
1767311100000,0.6949,0.6998,0.6944,0.6983,222211.0
1767312000000,0.6983,0.7012,0.6941,0.6987,447544.0
1767312900000,0.6987,0.6994,0.6949,0.6979,378223.0
1767313800000,0.6979,0.6984,0.6921,0.693,177313.0
1767314700000,0.693,0.6966,0.6929,0.6966,211268.0
1767315600000,0.6966,0.6976,0.6944,0.6945,80556.0
